id,anio,mes_i,nom_indicador,tipo,periodicidad,clave,nombre_unidad,numerador,denominador,indicador,digito_equivalencia
295673,2014,7,DM 02,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,0,50,0,2
296560,2014,8,DM 02,OOAD,Mensual,00,Nacional,493,22538,2.2,2
296573,2014,8,DM 02,OOAD,Mensual,14,Jalisco,28,3110,0.9,2
296944,2014,8,DM 02,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,1,53,1.9,2
297831,2014,9,DM 02,OOAD,Mensual,00,Nacional,454,23259,2,2
297844,2014,9,DM 02,OOAD,Mensual,14,Jalisco,35,3636,1,2
298215,2014,9,DM 02,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,0,57,0,2
299102,2014,10,DM 02,OOAD,Mensual,00,Nacional,427,22610,1.9,2
299115,2014,10,DM 02,OOAD,Mensual,14,Jalisco,24,3431,0.7,2
299486,2014,10,DM 02,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,1,47,2.1,2
300373,2014,11,DM 02,OOAD,Mensual,00,Nacional,360,19675,1.8,2
300386,2014,11,DM 02,OOAD,Mensual,14,Jalisco,25,3589,0.7,2
300757,2014,11,DM 02,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,0,53,0,2
301644,2014,12,DM 02,OOAD,Mensual,00,Nacional,318,18950,1.7,2
301657,2014,12,DM 02,OOAD,Mensual,14,Jalisco,26,3482,0.7,2
302028,2014,12,DM 02,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,0,62,0,2
302915,2014,1,DM 03,OOAD,Mensual anualizado,00,Nacional,127677,29525905,432.4,3
302928,2014,1,DM 03,OOAD,Mensual anualizado,14,Jalisco,8668,2452950,353.4,3
303298,2014,1,DM 03,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,169,43368,389.7,3
304185,2014,2,DM 03,OOAD,Mensual anualizado,00,Nacional,126705,29525905,429.1,3
304198,2014,2,DM 03,OOAD,Mensual anualizado,14,Jalisco,8582,2452950,349.9,3
304568,2014,2,DM 03,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,159,43368,366.6,3
305455,2014,3,DM 03,OOAD,Mensual anualizado,00,Nacional,126931,29525905,429.9,3
305468,2014,3,DM 03,OOAD,Mensual anualizado,14,Jalisco,8614,2452950,351.2,3
305838,2014,3,DM 03,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,168,43368,387.4,3
306725,2014,4,DM 03,OOAD,Mensual anualizado,00,Nacional,124481,29525905,421.6,3
306738,2014,4,DM 03,OOAD,Mensual anualizado,14,Jalisco,8347,2452950,340.3,3
307108,2014,4,DM 03,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,175,43368,403.5,3
307995,2014,5,DM 03,OOAD,Mensual anualizado,00,Nacional,123920,29525905,419.7,3
308008,2014,5,DM 03,OOAD,Mensual anualizado,14,Jalisco,8283,2452950,337.7,3
308378,2014,5,DM 03,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,167,43368,385.1,3
309265,2014,6,DM 03,OOAD,Mensual anualizado,00,Nacional,123209,29525905,417.3,3
309278,2014,6,DM 03,OOAD,Mensual anualizado,14,Jalisco,8181,2452950,333.5,3
309648,2014,6,DM 03,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,162,43368,373.5,3
310535,2014,7,DM 03,OOAD,Mensual anualizado,00,Nacional,122139,29525905,413.7,3
310548,2014,7,DM 03,OOAD,Mensual anualizado,14,Jalisco,8084,2452950,329.6,3
310918,2014,7,DM 03,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,159,43368,366.6,3
311805,2014,8,DM 03,OOAD,Mensual anualizado,00,Nacional,120842,29525905,409.3,3
311818,2014,8,DM 03,OOAD,Mensual anualizado,14,Jalisco,8002,2452950,326.2,3
312188,2014,8,DM 03,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,164,43368,378.2,3
313075,2014,9,DM 03,OOAD,Mensual anualizado,00,Nacional,119031,29525905,403.1,3
313088,2014,9,DM 03,OOAD,Mensual anualizado,14,Jalisco,7884,2452950,321.4,3
313458,2014,9,DM 03,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,163,43368,375.9,3
314345,2014,10,DM 03,OOAD,Mensual anualizado,00,Nacional,119788,29525905,405.7,3
314358,2014,10,DM 03,OOAD,Mensual anualizado,14,Jalisco,7777,2452950,317,3
314728,2014,10,DM 03,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,162,43368,373.5,3
315615,2014,11,DM 03,OOAD,Mensual anualizado,00,Nacional,118696,29525905,402,3
315628,2014,11,DM 03,OOAD,Mensual anualizado,14,Jalisco,7649,2452950,311.8,3
315998,2014,11,DM 03,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,153,43368,352.8,3
316885,2014,12,DM 03,OOAD,Mensual anualizado,00,Nacional,119397,29525905,404.4,3
316898,2014,12,DM 03,OOAD,Mensual anualizado,14,Jalisco,7563,2452950,308.3,3
317268,2014,12,DM 03,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,153,43368,352.8,3
318155,2014,1,DM 04,OOAD,Mensual,00,Nacional,491042,1101177,44.6,4
318168,2014,1,DM 04,OOAD,Mensual,14,Jalisco,33925,72284,46.9,4
318539,2014,1,DM 04,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,506,1632,31,4
319426,2014,2,DM 04,OOAD,Mensual,00,Nacional,490540,1120533,43.8,4
319439,2014,2,DM 04,OOAD,Mensual,14,Jalisco,32889,72676,45.3,4
319810,2014,2,DM 04,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,522,1595,32.7,4
320697,2014,3,DM 04,OOAD,Mensual,00,Nacional,451539,1062521,42.5,4
320710,2014,3,DM 04,OOAD,Mensual,14,Jalisco,29916,68717,43.5,4
321081,2014,3,DM 04,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,455,1482,30.7,4
321968,2014,4,DM 04,OOAD,Mensual,00,Nacional,452858,1099455,41.2,4
321981,2014,4,DM 04,OOAD,Mensual,14,Jalisco,30614,71343,42.9,4
322352,2014,4,DM 04,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,504,1577,32,4
323239,2014,5,DM 04,OOAD,Mensual,00,Nacional,430534,1043624,41.3,4
323252,2014,5,DM 04,OOAD,Mensual,14,Jalisco,29146,66828,43.6,4
323623,2014,5,DM 04,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,486,1490,32.6,4
324510,2014,6,DM 04,OOAD,Mensual,00,Nacional,492870,1177299,41.9,4
324523,2014,6,DM 04,OOAD,Mensual,14,Jalisco,33205,75585,43.9,4
324894,2014,6,DM 04,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,576,1679,34.3,4
325781,2014,7,DM 04,OOAD,Mensual,00,Nacional,477688,1137318,42,4
325794,2014,7,DM 04,OOAD,Mensual,14,Jalisco,33318,73217,45.5,4
326165,2014,7,DM 04,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,658,1658,39.7,4
327052,2014,8,DM 04,OOAD,Mensual,00,Nacional,460159,1103159,41.7,4
327065,2014,8,DM 04,OOAD,Mensual,14,Jalisco,30894,69388,44.5,4
327436,2014,8,DM 04,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,607,1545,39.3,4
328323,2014,9,DM 04,OOAD,Mensual,00,Nacional,483644,1134186,42.6,4
328336,2014,9,DM 04,OOAD,Mensual,14,Jalisco,32603,70443,46.3,4
328707,2014,9,DM 04,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,631,1624,38.9,4
329594,2014,10,DM 04,OOAD,Mensual,00,Nacional,482861,1138283,42.4,4
329607,2014,10,DM 04,OOAD,Mensual,14,Jalisco,33079,70988,46.6,4
329978,2014,10,DM 04,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,745,1579,47.2,4
330865,2014,11,DM 04,OOAD,Mensual,00,Nacional,462600,1119713,41.3,4
330878,2014,11,DM 04,OOAD,Mensual,14,Jalisco,31204,69050,45.2,4
331249,2014,11,DM 04,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,666,1550,43,4
332136,2014,12,DM 04,OOAD,Mensual,00,Nacional,452263,1098299,41.2,4
332149,2014,12,DM 04,OOAD,Mensual,14,Jalisco,29770,66942,44.5,4
332520,2014,12,DM 04,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,616,1507,40.9,4
333407,2014,1,DM 05,OOAD,Mensual,00,Nacional,861038,1101177,78.2,5
333420,2014,1,DM 05,OOAD,Mensual,14,Jalisco,53551,72284,74.1,5
333791,2014,1,DM 05,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,1136,1632,69.6,5
334678,2014,2,DM 05,OOAD,Mensual,00,Nacional,885330,1120533,79,5
334691,2014,2,DM 05,OOAD,Mensual,14,Jalisco,54215,72676,74.6,5
335062,2014,2,DM 05,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,1155,1595,72.4,5
335949,2014,3,DM 05,OOAD,Mensual,00,Nacional,840510,1062521,79.1,5
335962,2014,3,DM 05,OOAD,Mensual,14,Jalisco,51358,68717,74.7,5
336333,2014,3,DM 05,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,1098,1482,74.1,5
337220,2014,4,DM 05,OOAD,Mensual,00,Nacional,873524,1099455,79.5,5
337233,2014,4,DM 05,OOAD,Mensual,14,Jalisco,53637,71343,75.2,5
337604,2014,4,DM 05,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,1156,1577,73.3,5
338491,2014,5,DM 05,OOAD,Mensual,00,Nacional,830387,1043624,79.6,5
338504,2014,5,DM 05,OOAD,Mensual,14,Jalisco,50418,66828,75.4,5
338875,2014,5,DM 05,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,1116,1490,74.9,5
339762,2014,6,DM 05,OOAD,Mensual,00,Nacional,947351,1177299,80.5,5
