Parametro,Fuente,Anio,Mes,Cve_OOAD,Nombre_OOAD,Cve_Presupuestal,Nombre_Unidad,Sexo,Grupo_edad,Poblacion
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,20 a 24,5491
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,25 a 29,5966
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,30 a 34,5777
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,35 a 39,5150
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,40 a 44,5116
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,45 a 49,4249
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,50 a 54,3499
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,55 a 59,2877
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,60 a 64,2394
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,65 a 69,2119
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,70 a 74,1710
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,75 a 79,1278
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,80 a 84,891
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,85 y mas,1164
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,NI,4
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,00 a 04,3185
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,05 a 09,3509
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,10 a 14,3533
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,15 a 19,1821
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,20 a 24,2548
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,25 a 29,2732
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,30 a 34,2754
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,35 a 39,2419
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,40 a 44,2395
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,45 a 49,1998
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,50 a 54,1616
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,55 a 59,1299
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,60 a 64,1067
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,65 a 69,940
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,70 a 74,756
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,75 a 79,569
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,80 a 84,412
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,85 y mas,529
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,NI,4
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,00 a 04,2986
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,05 a 09,3374
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,10 a 14,3386
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,15 a 19,2092
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,20 a 24,2943
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,25 a 29,3234
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,30 a 34,3023
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,35 a 39,2731
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,40 a 44,2721
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,45 a 49,2251
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,50 a 54,1883
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,55 a 59,1578
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,60 a 64,1327
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,65 a 69,1179
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,70 a 74,954
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,75 a 79,709
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,80 a 84,479
PAMF,DIR,2015,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,85 y mas,635
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,00 a 04,6106
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,05 a 09,6881
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,10 a 14,6971
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,15 a 19,3493
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,20 a 24,4442
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,25 a 29,5750
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,30 a 34,6013
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,35 a 39,5261
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,40 a 44,5064
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,45 a 49,4388
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,50 a 54,3669
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,55 a 59,2967
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,60 a 64,2490
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,65 a 69,2107
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,70 a 74,1730
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,75 a 79,1272
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,80 a 84,876
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,85 y mas,1110
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,NI,20
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,00 a 04,3145
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,05 a 09,3473
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,10 a 14,3620
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,15 a 19,1644
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,20 a 24,2096
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,25 a 29,2668
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,30 a 34,2913
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,35 a 39,2505
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,40 a 44,2411
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,45 a 49,2096
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,50 a 54,1718
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,55 a 59,1378
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,60 a 64,1135
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,65 a 69,958
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,70 a 74,767
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,75 a 79,573
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,80 a 84,391
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,85 y mas,511
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,NI,7
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,00 a 04,2961
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,05 a 09,3408
